Row,ID,FirstName,LastName,City,State,Email,Phone,Flag1,Flag2,Flag3,Flag4,Flag5,Flag6,Flag7,Flag8,Column1,_1
46936.0,NQP81FMK,Samson,Chan,Bayamon,NY,ullamcorper.velit@nuncac.com,(853) 725-5990,,,,,false,true,,,,true
46936.0,NQP81FMK,Samson,Chan,Bayamon,NY,ullamcorper.velit@nuncac.com,(853) 725-5990,,,,,false,true,,,,true
45789.0,BSK01FDL,Russell,Rivas,Spokane Valley,NY,gravida.sit@loremfringillaornare.com,(455) 252-6258,,,false,,false,true,,,false,
45789.0,BSK01FDL,Russell,Rivas,Spokane Valley,NY,gravida.sit@loremfringillaornare.com,(455) 252-6258,,,false,,false,true,,,false,
14470.0,SOI62JRK,Astra,Wyatt,Johnson City,NY,Fusce.dolor@sem.com,(926) 408-3808,,,,true,false,false,,,false,false
14470.0,SOI62JRK,Astra,Wyatt,Johnson City,NY,Fusce.dolor@sem.com,(926) 408-3808,,,,true,false,false,,,false,false
15129.0,MMG93QDH,Colin,Buckley,Minnetonka,NY,at@massa.com,(111) 292-1074,true,,false,false,true,,,true,,
15129.0,MMG93QDH,Colin,Buckley,Minnetonka,NY,at@massa.com,(111) 292-1074,true,,false,false,true,,,true,,
15129.0,MMG93QDH,Colin,Buckley,Minnetonka,NY,at@massa.com,(111) 292-1074,true,,false,false,true,,,true,,
16855.0,QIB14OWN,Ulla,Suarez,New Castle,NY,dolor.Fusce@nostra.ca,(178) 475-3665,,false,,,true,,true,,false,
16855.0,QIB14OWN,Ulla,Suarez,New Castle,NY,dolor.Fusce@nostra.ca,(178) 475-3665,,false,,,true,,true,,false,
26698.0,KMW87XEZ,Kermit,Griffith,Rialto,NY,faucibus.Morbi.vehicula@Vestibulum.edu,(595) 704-2163,true,,false,,,,true,false,,
26698.0,KMW87XEZ,Kermit,Griffith,Rialto,NY,faucibus.Morbi.vehicula@Vestibulum.edu,(595) 704-2163,true,,false,,,,true,false,,
2571.0,DTX89VJA,Raphael,Martinez,Montgomery,NY,erat.volutpat@accumsanconvallis.com,(731) 682-7546,true,true,true,true,,,,,true,
2571.0,DTX89VJA,Raphael,Martinez,Montgomery,NY,erat.volutpat@accumsanconvallis.com,(731) 682-7546,true,true,true,true,,,,,true,
27764.0,QAR79ZKV,Theodore,Terry,Thibodaux,NY,ornare@egetvenenatisa.edu,(984) 629-8310,,true,,true,,false,,,false,true
27764.0,QAR79ZKV,Theodore,Terry,Thibodaux,NY,ornare@egetvenenatisa.edu,(984) 629-8310,,true,,true,,false,,,false,true
27764.0,QAR79ZKV,Theodore,Terry,Thibodaux,NY,ornare@egetvenenatisa.edu,(984) 629-8310,,true,,true,,false,,,false,true
7674.0,WVX49EQF,Juliet,Bailey,Tulsa,NY,sodales.Mauris.blandit@ornare.org,(255) 636-7059,,false,,,true,true,,,false,
7674.0,WVX49EQF,Juliet,Bailey,Tulsa,NY,sodales.Mauris.blandit@ornare.org,(255) 636-7059,,false,,,true,true,,,false,
28603.0,DCX88JXP,Brent,Cline,South Portland,NY,faucibus@ipsumacmi.com,(833) 608-8230,false,false,,,,,true,true,,true
28603.0,DCX88JXP,Brent,Cline,South Portland,NY,faucibus@ipsumacmi.com,(833) 608-8230,false,false,,,,,true,true,,true
2310.0,EJF97HJF,Vera,George,Phenix City,NY,Sed@pedeCumsociis.com,(416) 335-6386,,false,true,,,false,,,,true
2310.0,EJF97HJF,Vera,George,Phenix City,NY,Sed@pedeCumsociis.com,(416) 335-6386,,false,true,,,false,,,,true
38693.0,SQI23VWT,Tanner,Murphy,Guthrie,NY,dis.parturient.montes@auctor.com,(796) 935-6799,,,false,true,,,,,true,
38693.0,SQI23VWT,Tanner,Murphy,Guthrie,NY,dis.parturient.montes@auctor.com,(796) 935-6799,,,false,true,,,,,true,
38693.0,SQI23VWT,Tanner,Murphy,Guthrie,NY,dis.parturient.montes@auctor.com,(796) 935-6799,,,false,true,,,,,true,
15576.0,AEP02BCZ,Arthur,Craft,Minnetonka,NY,nunc.sed@liberoet.ca,(799) 652-8839,,true,,false,true,,,,true,
15576.0,AEP02BCZ,Arthur,Craft,Minnetonka,NY,nunc.sed@liberoet.ca,(799) 652-8839,,true,,false,true,,,,true,
41169.0,JDN61UBE,Ignatius,Head,Two Rivers,NY,amet.dapibus@egestas.com,(223) 779-5179,false,,false,,,,false,true,true,
41169.0,JDN61UBE,Ignatius,Head,Two Rivers,NY,amet.dapibus@egestas.com,(223) 779-5179,false,,false,,,,false,true,true,
10646.0,YDP63AAT,Darrel,Miller,Bradbury,NY,sagittis.Nullam@massalobortisultrices.edu,(275) 409-4448,,,,false,,,,,,
10646.0,YDP63AAT,Darrel,Miller,Bradbury,NY,sagittis.Nullam@massalobortisultrices.edu,(275) 409-4448,,,,false,,,,,,
17684.0,WQO72XSV,Deanna,Carney,Niagara Falls,NY,non.egestas.a@In.com,(532) 155-4477,,true,,false,true,,true,,false,
